epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0328,2.498,3.61445,4.58893,1.8648,0.15083,0.20091,0.05581,0.02008,0.13712,0.18265,0.05631,0.01836,2.7351,3.82676,12.2352,2.39459,0.00046,0.00046,0.00046
2,25.4369,2.08158,2.46661,1.93548,1.57161,0.05693,0.12329,0.02173,0.00577,0.15789,0.0411,0.01679,0.00441,3.07372,11.0114,8.65419,2.87438,0.000930694,0.000930694,0.000930694
3,34.6562,2.06022,2.40514,1.75667,1.57958,0.02462,0.03653,0.00666,0.00225,0.10333,0.0137,0.00507,0.00103,4.02782,11.3564,6.62564,3.89603,0.00139188,0.00139188,0.00139188
4,43.822,2.0831,2.38601,1.72013,1.59738,0.03292,0.09132,0.0121,0.00373,0.02669,0.08219,0.01003,0.00345,3.04892,4.59367,6.53691,2.53423,0.00184357,0.00184357,0.00184357
5,52.9499,2.024,2.40246,1.6835,1.55895,0.08487,0.15982,0.03271,0.00949,0.06896,0.13242,0.02919,0.00727,2.94757,6.46771,4.49391,2.41665,0.0019208,0.0019208,0.0019208
6,62.1882,1.99959,2.28257,1.59431,1.55389,0.19827,0.21005,0.11576,0.04065,0.25644,0.20091,0.13217,0.03396,2.64984,4.35956,2.61548,2.21932,0.001901,0.001901,0.001901
7,71.6789,1.97431,2.21264,1.6092,1.55029,0.22599,0.25571,0.16504,0.04894,0.19598,0.22374,0.139,0.0403,2.74762,3.89746,2.74703,2.00658,0.0018812,0.0018812,0.0018812
8,81.0948,1.92938,2.17618,1.52375,1.4985,0.29273,0.34247,0.21341,0.07136,0.29085,0.32877,0.24136,0.07959,2.42122,2.97926,2.35066,1.87711,0.0018614,0.0018614,0.0018614
9,90.3501,1.88711,2.07329,1.46153,1.47314,0.34383,0.38356,0.26729,0.08919,0.44002,0.36986,0.32128,0.09883,2.35737,3.62158,2.16117,1.81962,0.0018416,0.0018416,0.0018416
10,99.5313,1.86332,2.04528,1.40616,1.46457,0.3488,0.37443,0.30651,0.10098,0.48535,0.40183,0.3731,0.13249,2.42749,3.45155,2.10274,1.85473,0.0018218,0.0018218,0.0018218
