epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.418,2.498,3.61445,4.58893,1.8648,0.15083,0.20091,0.05581,0.02008,0.13712,0.18265,0.05631,0.01836,2.7351,3.82676,12.2352,2.39459,0.00046,0.00046,0.00046
2,20.5641,2.0769,2.48032,1.94285,1.57418,0.11511,0.10502,0.04448,0.01296,0.10032,0.12785,0.04945,0.01592,2.90275,7.83304,6.31731,2.79472,0.000936898,0.000936898,0.000936898
3,28.0932,2.0549,2.44433,1.78822,1.60689,0.01376,0.09132,0.00436,0.0013,0.01102,0.07763,0.00282,0.00069,3.39941,7.71747,61.826,4.10042,0.00141063,0.00141063,0.00141063
4,35.6948,2.03266,2.35388,1.69797,1.58217,0.01874,0.30137,0.01024,0.00293,0.02192,0.34703,0.01291,0.00389,3.19167,14.1679,31.9968,2.87788,0.00188119,0.00188119,0.00188119
5,43.2524,2.0568,2.38549,1.65629,1.56313,0.1051,0.20091,0.04992,0.01789,0.11514,0.24201,0.06648,0.01904,2.82779,7.76564,4.74564,2.70866,0.0019736,0.0019736,0.0019736
6,50.8812,2.02218,2.35725,1.60904,1.54466,0.06591,0.15982,0.03927,0.01131,0.07835,0.17808,0.03682,0.01105,3.07168,4.15585,4.32612,2.48579,0.001967,0.001967,0.001967
7,58.4821,1.99358,2.24666,1.63262,1.51943,0.177,0.16895,0.07838,0.02509,0.17346,0.13242,0.07125,0.02079,2.76898,5.29798,4.65578,2.22554,0.0019604,0.0019604,0.0019604
8,66.2829,1.93717,2.18456,1.54409,1.52023,0.37147,0.4129,0.2871,0.09,0.42659,0.38726,0.36255,0.11744,2.6022,2.79796,2.04625,2.11787,0.0019538,0.0019538,0.0019538
9,74.0772,1.91691,2.11726,1.47843,1.49106,0.34214,0.379,0.31038,0.11281,0.43282,0.379,0.35518,0.1336,2.28402,2.86967,2.00875,1.81535,0.0019472,0.0019472,0.0019472
10,81.8576,1.89683,2.07865,1.4206,1.4628,0.41709,0.39207,0.32431,0.12291,0.50367,0.42922,0.43628,0.15157,2.3187,2.6716,2.3542,1.82765,0.0019406,0.0019406,0.0019406
11,89.6204,1.86356,2.11051,1.41854,1.46432,0.41516,0.43111,0.3623,0.12704,0.44774,0.45662,0.40422,0.14717,2.27705,2.74477,1.80325,1.76966,0.001934,0.001934,0.001934
